Port_IDs,Total_PnL,Total_Positions,Win_Positions,Win_Rate,ROI,Sharpe_Ratio,MDD,ROI_norm,Sharpe_Ratio_norm,Win_Rate_norm,Total_PnL_norm,MDD_norm,Score
3826087012661391104,532.65697373,108.0,63.0,0.5833333333333334,12.17851745780603,0.791783986681139,12.925980129999992,1.0,0.6942041565713697,0.7267932489451476,0.15269733849011013,0.9993942286473939,0.7688290534741908
3768170840939476993,243.66889897,14.0,6.0,0.42857142857142855,8.779089104108492,0.8345165970973957,0.0,0.725084437159445,0.7188333540199848,0.5339705502454145,0.1492710982760538,1.0,0.6548965572305172
3986814617275053313,16337.46188064,3554.0,2780.0,0.7822172200337648,0.871628342633023,1.2885519825388612,2.38194747,0.08559926503745857,0.9805193836766652,0.9745889052500252,0.3400789741937344,0.9998883708990555,0.6487501101735212
3956048468100538880,1373.56489,28.0,20.0,0.7142857142857143,1.1145612443640718,1.3223516055168498,0.0,0.10524551977885875,1.0,0.889950917075691,0.162667135760933,1.0,0.6258305529248891
3891020560590657281,2856.30056379,437.0,283.0,0.6475972540045767,1.7434069462039081,1.1283990693781834,0.0,0.15610097312975008,0.888214287363039,0.806861678135901,0.18024643759397319,1.0,0.5926915575344143
3733192481840423936,2923.97719988,689.0,553.0,0.8026124818577649,0.25109886265200626,0.9647472129378233,2743.12,0.03541635382458219,0.7938925540113906,0.9999999999999999,0.1810488112293427,0.8714446799353943,0.5540420214672656
4039279455324236544,1038.8074192600002,327.0,181.0,0.5535168195718655,1.0221011564380975,1.1010723088609395,0.0,0.09776816933409688,0.8724643443135927,0.689643921672722,0.15869825396829257,1.0,0.5448683638256805
4039129759104249600,1264.28919972,133.0,59.0,0.44360902255639095,3.162479424560003,0.8865812842036273,0.0,0.2708629473524073,0.7488411500883456,0.5527063590259554,0.16137156408460332,1.0,0.5325896574458773
3977234346014419201,2427.2928308600003,83.0,33.0,0.39759036144578314,4.102463607193359,0.8017900439468195,0.0,0.34688051670308656,0.6999712079562026,0.4953702695047822,0.1751601254756388,1.0,0.530645583846307
4035430878731345664,2493.75041995,89.0,43.0,0.48314606741573035,1.9099021490834953,0.9477162836918821,0.0,0.16956562590294588,0.7840766753406105,0.6019668000894,0.17594804609990156,1.0,0.524080855000937
3907081197088384000,18015.997370259996,4137.0,2540.0,0.6139714769156394,1.0992418198530547,0.7845270056500184,2060.7071223800012,0.10400662083066978,0.6900215518356589,0.7649662705151455,0.35997967701696665,0.9034257109871338,0.5175422447033378
4013955990069013504,1690.02704985,358.0,236.0,0.659217877094972,0.70328619573829,0.813132631174659,347.8586470499997,0.07198524784159252,0.7065085764364188,0.8213401759827047,0.1664191084996201,0.9836977311569478,0.5128278664456012
3886752488982104320,7195.178324640001,1249.0,931.0,0.745396317053643,0.8994404782536423,0.5839185520563892,38.20810000000074,0.08784846346801937,0.574399661076109,0.9287125903254249,0.2316881362884436,0.9982093913045873,0.5074067081876266
4029749871687083265,3662.13654822,856.0,367.0,0.4287383177570093,3.1705408328920717,0.7192341264765443,0.0,0.2715148824362833,0.6523896075783921,0.5341784827026752,0.189800422332204,1.0,0.5029870857781581
4034786679304751616,2521.07586938,321.0,123.0,0.38317757009345793,3.0863578746042677,0.7841524300230254,0.0,0.2647069126980472,0.6898056629164755,0.4774129218705108,0.17627201640138193,1.0,0.49946355869859715
4032403303704824321,2060.57051952,223.0,123.0,0.5515695067264574,0.2639519891800358,0.9347927227003462,1104.51520996,0.03645580050386599,0.7766281031073854,0.6872177036790762,0.17081226879834066,0.9482372968252818,0.49327366838155284
3944658614777849089,2074.4499799600003,45.0,20.0,0.4444444444444444,2.0835728712731334,0.8012537160069144,0.0,0.1836105709266462,0.6996620921170236,0.553747237291541,0.17097682356603627,1.0,0.49282892872801276
3999240873283311617,42574.473678790004,4522.0,2366.0,0.5232198142414861,0.543673453021995,0.5915285245145225,300.81384848999005,0.0590771872988113,0.5787857145473143,0.6518959349229365,0.6511447681513157,0.9859024685130449,0.48544278120486106
4017110277719148289,2899.93302141,252.0,143.0,0.5674603174603174,0.4712308465925302,0.7966806613730173,0.0,0.05321867291108165,0.6970263845292018,0.7070165618990211,0.18076374364911027,1.0,0.48455320397680035
3943533600390906881,2361.4245720499994,1759.0,964.0,0.5480386583285958,1.0608087437491676,0.7397100862138954,32.30352141,0.10089849509614691,0.6641910503268853,0.682818509201451,0.17437919194628082,0.9984861072304251,0.48337709538487045
